#KeyboxId	KeyAndMagic	CRCAndPadding
ffff6779c51465681ef48c59b89fb288	5c3b087da376e6e5a01c4cc574a1824438b536882dbd9a350cd03a43022364c14e565349	cc36fe390000000000000000
ffffe3eabdaa077629fd25664fe574be	099839da337d24eb4816ef81b1b52e8183dd5e607122ed80635c9efca085571d4e565349	eb0215670000000000000000
ffff4b1c13045639ff2cb8016ff21229	99538d8fca88b50a8196a453b9436ed0b1278c944c2c3e467fca9c0ff0ba089a4e565349	7f01b9e30000000000000000
ffff1b179b2e033a10ddc528fb615ea9	b0f59ea395d7a326de607a4050343383721cf1c137a94ea276d3eeb9759861bf4e565349	c986885d0000000000000000
ffff38c01dce0a5321c1ed5bb674ece5	978657170e7c6bd59f2ceb8a59fa207c06a5f4b250e1247ee04d4005776efc514e565349	020fee280000000000000000
ffff1177aa77c0860cd49eb01d527b4e	b73faa7b735fe1c60f5f1d0f2eb1a5d75165b56a2dbff0b7a6fdd9e19404edd94e565349	5ae32ff80000000000000000
ffff24b9964178a5a8d13bd9dff8b11a	50d1d98045527ef1cf73969d9b435ca8bcc21acf520106a225e141385773d41f4e565349	a4a1cdc50000000000000000
ffff7bd8db56e803525189197d205f68	e24314dce96c045e85bdc4084612a03df6be3d1e9caa7f1cd3b8b9fcc0831ff64e565349	11986a330000000000000000
fffffde205386280d97999bb463cf48c	f498f11cfd442a8b6cdbb1b4e7c351bf45e628f8de37e4fb4d453116e2db92884e565349	bdde66e00000000000000000
ffff623b8b3cc7604562c479835354dd	a32ea6988deabb70daaee5c66cf64c70b8d698891d2970124ee1d4fab5dd70a04e565349	a02b62660000000000000000
ffff992209b3c16e196eca8a829c7fb6	0fe4998ac004d4f3140bef4cf5fb8fa3b72c35927b9feb535215118a441965c34e565349	0261d4230000000000000000
ffff9b142aa5f7aaaaa83d728f9236ed	04ac83bdfece3caa3789bd68b9c7a089e26056f1056743223b3c3605746a5fe94e565349	f0be2fa20000000000000000
ffffa3cc624593dadb98208c0c54d0ff	d9b2da4ff1a39fe2cb7d7377821aa9dffea430bbdd2b45e833eead49ea7b08fe4e565349	85cf70280000000000000000
ffff5e9c31adc67d0bd803a06a47c9ba	862ef363818ef591d188f88aa4e654911d684715d67f161692b1a533751325a04e565349	5c3056e00000000000000000
ffff5965c6fd1fa2dba732338736779e	b481240a56097146e162338715ee6eb3f64e41d48832b2f7692351629a7e8c194e565349	c4f5f3cc0000000000000000
ffff516c805f4f1a37de7d35ad436510	da6735ae8b561f26ed2d5882e44d939a8bef12f123da3e6ea245f38e0139a3df4e565349	9ff372a10000000000000000
ffff362c86db621a08d62151a2c535a7	2711ab7df8dca1337d8e8dfa39d3bb080d83bca8f078a7c187a88a2614b1b03b4e565349	e005c7400000000000000000
ffffbc6048a9a2ef23d7e9d2ee5bbcbf	9021f3c31a39773a1d2f8c268ef92aaef045bad023ed94f7d90cff76b9aa4e854e565349	fca0bd360000000000000000
fffff7e9eba9614a68109f189534878b	e825f5c24bd3d48992aa07177cf9f4907b87a9e92835c461d9d54af9ced93e054e565349	04384f5c0000000000000000
ffff47d91459d14470028a4790d0d47a	98435cae7788192abb4c1ff76f89597d52f51c8e5b81583fd366243cff0e5ba14e565349	13f2dd8d0000000000000000
ffff2e8b41a4a4875a79ab4b2d27caaa	9b4db98e3889313f9277eeb1a8b450524a7fde11a9d75814b1272841943509314e565349	e2c7f2100000000000000000
ffff9bfa8f15b6a0d75d6c3eac12217b	817b5573a37522d0f4c508356578f3323dda353c05f8bfb919cc26af2cdb604d4e565349	67d3c5700000000000000000
ffff13b54bfea106c2c68c392b7b9a9c	8de3790b2dbad941cc57a01fdafac9f95e01821b6745eb1e2bf0b00def0349ae4e565349	07f021c60000000000000000
ffff178ad3934c54bc0e286815eb34e7	ebf8753ced66c24e8ecb8746d53a24434a6f2ff4be47a0b2471257f38502c96d4e565349	12d29d470000000000000000
ffffbb9e9b17998c84aa91212e06fc24	b10213e4a68dbaf94bd4d6b081d5ea038ffea651ce77015b8bd66c79d353654c4e565349	7f7823b20000000000000000
